"Time [s]","Committed size","Free size","Used size"
510.94,262144000,235903000,26241000
511.95,262144000,235903000,26241000
512.95,262144000,235903000,26241000
513.95,262144000,235903000,26241000
514.95,262144000,235903000,26241000
515.96,262144000,235903000,26241000
516.96,262144000,235903000,26241000
517.96,262144000,235903000,26241000
518.97,262144000,235903000,26241000
519.97,262144000,235903000,26241000
520.97,262144000,235903000,26241000
521.98,262144000,235903000,26241000
522.98,262144000,235903000,26241000
523.99,262144000,235903000,26241000
524.99,262144000,235903000,26241000
526.0,262144000,235903000,26241000
527.0,262144000,235903000,26241000
528.0,262144000,235903000,26241000
529.01,262144000,235903000,26241000
530.01,262144000,235903000,26241000
531.01,262144000,235903000,26241000
532.01,262144000,235903000,26241000
533.01,262144000,235903000,26241000
534.02,262144000,235903000,26241000
535.02,262144000,235903000,26241000
536.03,262144000,235903000,26241000
537.03,262144000,235903000,26241000
538.03,262144000,235903000,26241000
539.04,262144000,235903000,26241000
540.04,262144000,235903000,26241000
541.04,262144000,235903000,26241000
542.05,262144000,235903000,26241000
543.05,262144000,235903000,26241000
544.06,262144000,235903000,26241000
545.06,262144000,235903000,26241000
546.06,262144000,235903000,26241000
547.07,262144000,235903000,26241000
548.07,262144000,235903000,26241000
549.07,262144000,235903000,26241000
550.08,262144000,235903000,26241000
551.08,262144000,235903000,26241000
552.08,262144000,235903000,26241000
553.09,262144000,235903000,26241000
554.09,262144000,235903000,26241000
555.09,262144000,235903000,26241000
556.1,262144000,235903000,26241000
557.1,262144000,235903000,26241000
558.11,262144000,235903000,26241000
559.11,262144000,235903000,26241000
560.12,262144000,235903000,26241000
561.13,262144000,235903000,26241000
562.13,262144000,235903000,26241000
563.13,262144000,235903000,26241000
564.13,262144000,235903000,26241000
565.14,262144000,235903000,26241000
566.14,262144000,235903000,26241000
567.14,262144000,235903000,26241000
568.15,262144000,235903000,26241000
569.15,262144000,235903000,26241000
570.15,262144000,235903000,26241000
571.16,262144000,235903000,26241000
572.16,262144000,235903000,26241000
573.16,262144000,235903000,26241000
574.16,262144000,235903000,26241000
575.16,262144000,235903000,26241000
576.17,262144000,235903000,26241000
577.17,262144000,235903000,26241000
578.17,262144000,235903000,26241000
579.17,262144000,235903000,26241000
580.18,262144000,235903000,26241000
581.18,262144000,235903000,26241000
582.18,262144000,235903000,26241000
583.19,262144000,235903000,26241000
584.19,262144000,235903000,26241000
585.19,262144000,235903000,26241000
586.2,262144000,235903000,26241000
587.2,262144000,235903000,26241000
588.2,262144000,235903000,26241000
589.21,262144000,235903000,26241000
590.21,262144000,235903000,26241000
591.22,262144000,235903000,26241000
592.22,262144000,235903000,26241000
593.22,262144000,235903000,26241000
594.23,262144000,235903000,26241000
595.23,262144000,235903000,26241000
596.23,262144000,235903000,26241000
597.24,262144000,235903000,26241000
598.24,262144000,235903000,26241000
599.25,262144000,235715000,26429000
600.25,262144000,235715000,26429000
601.25,262144000,235715000,26429000
602.26,262144000,235715000,26429000
603.26,262144000,235715000,26429000
604.27,262144000,235715000,26429000
605.27,262144000,235715000,26429000
606.27,262144000,235715000,26429000
607.28,262144000,235715000,26429000
608.28,262144000,235715000,26429000
609.28,262144000,235715000,26429000
610.29,262144000,235715000,26429000
611.29,262144000,235715000,26429000
612.3,262144000,235715000,26429000
613.3,262144000,235715000,26429000
614.3,262144000,235715000,26429000
615.3,262144000,235715000,26429000
616.31,262144000,235715000,26429000
617.31,262144000,235715000,26429000
618.32,262144000,235715000,26429000
619.32,262144000,235715000,26429000
620.33,262144000,235715000,26429000
621.33,262144000,235715000,26429000
622.34,262144000,235715000,26429000
623.34,262144000,235715000,26429000
624.34,262144000,235715000,26429000
625.34,262144000,235715000,26429000
626.35,262144000,235715000,26429000
627.35,262144000,235715000,26429000
628.36,262144000,235715000,26429000
629.36,262144000,235715000,26429000
630.37,262144000,235715000,26429000
631.37,262144000,235715000,26429000
632.38,262144000,235715000,26429000
